     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
4.5371e-16 0.2951
0.0000e+00 1.0000
3.8750e-16 0.4071
3.3998e-16 0.3315
0.0000e+00 1.0000
3.2387e-16 0.4007
9.3945e-17 0.4976
0.0000e+00 1.0000
0.0000e+00 1.0000
4.3152e-16 0.3903
8.1785e-16 0.4124
0.0000e+00 1.0000
1.2199e-15 0.3571
0.0000e+00 1.0000
8.6308e-16 0.3624
0.0000e+00 1.0000
2.5378e-16 0.3967
0.0000e+00 1.0000
3.5090e-16 0.4263
1.1536e-15 0.3670
4.1962e-16 0.3305
1.5395e-15 0.3075
9.6075e-16 0.2527
1.4532e-15 0.2957
6.4834e-16 0.4424
6.0369e-16 0.4885
9.1094e-16 0.3637
0.0000e+00 1.0000
1.4051e-15 0.3783
1.6433e-15 0.3246
1.3355e-15 0.3010
2.0993e-15 0.2476
1.4322e-15 0.2894
2.3266e-16 0.4790
3.6882e-16 0.3348
5.6170e-16 0.3202
6.2467e-16 0.4531
1.6623e-15 0.3413
6.7145e-15 0.2120
8.6626e-13 0.0250
3.1565e-12 0.0139
8.5666e-13 0.0251
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
1.7289e-15 0.3781
2.5695e-15 0.2134
8.8236e-13 0.0247
2.2803e-11 0.0061
5.6402e-11 0.0038
2.2908e-11 0.0060
0.0000e+00 1.0000
4.6011e-16 0.3687
7.7178e-16 0.3270
1.1971e-15 0.3456
3.3657e-15 0.3418
3.2027e-12 0.0138
5.6137e-11 0.0038
1.3655e-09 0.0003
5.6503e-11 0.0037
0.0000e+00 1.0000
9.2573e-16 0.4629
4.4816e-16 0.3969
5.0227e-16 0.2989
1.5113e-15 0.2851
8.7474e-13 0.0249
2.2780e-11 0.0060
5.6242e-11 0.0038
2.2836e-11 0.0060
0.0000e+00 1.0000
3.6228e-16 0.4027
8.8368e-16 0.4435
2.7074e-15 0.3839
2.7188e-15 0.2660
6.1980e-15 0.2360
8.8090e-13 0.0247
3.1720e-12 0.0139
8.7161e-13 0.0250
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
3.2371e-16 0.4108
3.3977e-16 0.3887
0.0000e+00 1.0000
8.5055e-16 0.3428
5.7118e-16 0.4312
